task,phase,route_group,method,n_runs,town,mean_abs_acc_ms2,mean_abs_jerk_ms3,mean_abs_lat_acc_ms2,mean_abs_dsteer,mean_abs_dthrottle
Town01,few_shot_ca,left,DreamerV3,3,Town01,0.28 ± 0.01,3.06 ± 0.22,0.21 ± 0.07,0.14 ± 0.01,0.02 ± 0.00
Town01,few_shot_ca,left,ICM,3,Town01,0.35 ± 0.06,4.21 ± 0.86,0.16 ± 0.05,0.22 ± 0.01,0.05 ± 0.00
Town01,few_shot_ca,left,InDRiVE,3,Town01,0.32 ± 0.03,3.84 ± 0.20,0.18 ± 0.08,0.13 ± 0.00,0.04 ± 0.00
Town01,few_shot_ca,left,RND,3,Town01,0.28 ± 0.02,3.36 ± 0.20,0.23 ± 0.06,0.17 ± 0.01,0.04 ± 0.00
Town01,few_shot_ca,multi_turn,DreamerV3,3,Town01,0.32 ± 0.08,3.71 ± 1.05,0.16 ± 0.11,0.15 ± 0.02,0.03 ± 0.00
Town01,few_shot_ca,multi_turn,ICM,3,Town01,0.36 ± 0.08,4.80 ± 1.13,0.33 ± 0.02,0.21 ± 0.01,0.04 ± 0.00
Town01,few_shot_ca,multi_turn,InDRiVE,3,Town01,0.47 ± 0.16,5.79 ± 2.73,0.42 ± 0.14,0.19 ± 0.04,0.04 ± 0.00
Town01,few_shot_ca,multi_turn,RND,3,Town01,0.42 ± 0.05,5.72 ± 0.85,0.38 ± 0.12,0.19 ± 0.01,0.04 ± 0.00
Town01,few_shot_ca,right,DreamerV3,3,Town01,0.24 ± 0.05,2.87 ± 0.67,0.11 ± 0.02,0.14 ± 0.01,0.02 ± 0.00
Town01,few_shot_ca,right,ICM,3,Town01,0.17 ± 0.12,2.26 ± 1.63,0.03 ± 0.03,0.21 ± 0.01,0.05 ± 0.00
Town01,few_shot_ca,right,InDRiVE,3,Town01,0.27 ± 0.06,2.75 ± 1.19,0.21 ± 0.05,0.14 ± 0.01,0.04 ± 0.00
Town01,few_shot_ca,right,RND,3,Town01,0.35 ± 0.06,4.10 ± 0.97,0.27 ± 0.06,0.18 ± 0.00,0.04 ± 0.00
Town01,few_shot_ca,straight,DreamerV3,3,Town01,0.25 ± 0.03,3.10 ± 0.35,0.11 ± 0.05,0.18 ± 0.03,0.03 ± 0.00
Town01,few_shot_ca,straight,ICM,3,Town01,0.27 ± 0.09,3.65 ± 0.91,0.15 ± 0.12,0.21 ± 0.01,0.04 ± 0.00
Town01,few_shot_ca,straight,InDRiVE,3,Town01,0.29 ± 0.09,3.49 ± 1.01,0.09 ± 0.06,0.18 ± 0.03,0.04 ± 0.00
Town01,few_shot_ca,straight,RND,3,Town01,0.27 ± 0.10,3.10 ± 1.51,0.23 ± 0.06,0.19 ± 0.01,0.04 ± 0.00
