episode_index,env_step,length,return,is_collision,out_of_lane,destination_reached,wrong_direction,too_slow,off_road
0,142,141,13.088799977796825,0,0,0,0,1,0
1,296,153,17.070932271281272,0,0,0,0,1,0
2,448,151,17.894014444738037,0,0,0,0,1,0
3,592,143,12.436838645176937,0,0,0,0,1,0
4,902,309,19.73768537100328,1,0,0,0,0,0
5,1105,202,79.92642408243296,0,0,0,0,0,0
6,1263,157,34.002776501667576,0,0,0,0,0,0
7,1407,143,9.692553033081431,0,0,0,0,1,0
8,1661,253,74.737135691129,0,0,0,0,0,0
9,1802,140,11.670102761779278,0,0,0,0,1,0
10,2051,248,99.72501060672019,0,0,0,0,0,0
11,2280,228,107.91219003182204,0,0,0,0,0,0
12,2464,183,16.89059295552577,0,0,0,0,0,0
13,2535,70,83.85106277257175,0,0,0,0,0,0
14,2716,180,24.147971573131812,0,0,0,0,0,0
15,3098,381,175.5662087151253,0,0,0,0,0,0
16,3838,739,30.65230842460374,0,0,0,0,0,0
17,4940,1101,232.72839691601408,0,0,0,0,1,0
18,5228,287,21.54337273105799,0,0,0,0,1,0
19,5292,63,64.4571966308007,0,0,0,0,0,0
20,5764,471,282.7999441601735,0,0,0,0,0,0
21,6231,466,301.63047295949536,0,0,0,0,0,0
22,6420,188,90.67854502554516,0,0,0,0,0,0
23,7621,1200,261.1863737877825,0,0,0,0,0,0
24,7786,164,37.80414246179243,0,0,0,0,0,0
25,7944,157,31.041788695920097,0,0,0,0,0,0
26,8013,68,74.19188956256511,0,0,0,0,0,0
27,8122,108,88.79989978443695,1,0,0,0,0,0
28,9323,1200,223.273073603223,0,0,0,0,0,0
29,9419,95,8.444610579908424,0,0,0,0,0,0
30,9490,70,63.02890638224176,1,0,0,0,0,0
31,10691,1200,225.77249475818599,0,0,0,0,0,0
32,10837,145,22.14504726850228,0,0,0,0,0,0
33,10997,159,23.739337945177247,0,0,0,0,0,0
34,11188,190,102.373324650982,0,0,0,0,0,0
35,11697,508,369.968768205343,0,0,0,0,0,0
36,11838,140,30.32760994617358,0,0,0,0,0,0
37,11996,157,22.867478228544496,0,0,0,0,1,0
38,12377,380,217.83792513449418,0,0,0,0,0,0
39,12818,440,229.90170905772678,0,0,0,0,0,0
40,13001,182,30.591662555737727,0,0,0,0,1,0
41,13209,207,111.36256816037806,0,0,0,0,0,0
42,14121,911,70.66505360181688,0,0,0,0,0,0
43,14400,278,23.250388814476217,0,0,0,0,1,0
44,14998,597,125.65264033348765,0,0,0,0,1,0
45,15134,135,12.556179502944072,0,0,0,0,1,0
46,16200,1065,76.15435063563606,0,0,0,0,0,0
47,16604,403,214.13931752436338,1,0,0,0,0,0
48,16784,179,388.8055244911725,1,0,0,0,0,0
49,17028,243,20.50866929291508,0,0,0,0,1,0
50,17105,76,138.80482551953503,0,0,0,0,0,0
51,17826,720,579.9033463678377,0,0,0,0,0,0
52,18375,548,91.63301777213273,0,0,0,0,1,0
53,18478,102,123.8378916418061,1,0,0,0,0,0
54,18550,71,131.5348165066528,0,0,0,0,0,0
55,18763,212,108.37370174681561,0,0,0,0,0,0
56,19863,1099,241.29780301269176,0,0,0,0,1,0
57,21064,1200,168.23894488587382,0,0,0,0,0,0
58,22265,1200,960.8453903894319,0,0,0,0,0,0
59,22552,286,68.76278229815456,0,0,0,0,0,0
60,22920,367,939.4738566808112,0,0,0,0,0,0
61,23580,659,142.4581511799555,0,0,0,0,1,0
62,24781,1200,325.3670176227748,0,0,0,0,0,0
63,24858,76,132.31917512837884,0,0,0,0,0,0
64,25304,445,304.83733108359957,0,0,0,0,0,0
65,25384,79,148.10388032177184,0,0,0,0,0,0
66,25680,295,108.0108955562798,0,0,0,0,0,0
67,26402,721,580.6229540054153,0,0,0,0,0,0
68,26493,90,58.491923655303765,1,0,0,0,0,0
69,27008,514,80.00319459690797,0,0,0,0,1,0
70,27450,441,314.72890627889035,0,0,0,0,0,0
71,27817,366,933.8929803471682,0,0,0,0,0,0
72,29018,1200,325.0112379271119,0,0,0,0,0,0
73,29738,719,561.2667346673541,0,0,0,0,0,0
74,30183,444,301.885838402157,0,0,0,0,0,0
75,30474,290,178.87914112531033,0,0,0,0,0,0
76,30601,126,271.084799100005,0,0,0,0,0,0
77,30748,146,18.876921855828478,0,0,0,0,1,0
78,30827,78,142.02777419448967,0,0,0,0,0,0
79,31656,828,151.42054082079522,0,0,0,0,1,0
80,31738,81,147.00863347006498,0,0,0,0,0,0
81,32939,1200,270.8326598206123,0,0,0,0,0,0
82,33083,143,331.8335554603069,0,0,0,0,0,0
83,34284,1200,262.81584996985976,0,0,0,0,0,0
84,34600,315,178.88840034311934,1,0,0,0,0,0
85,35307,706,-118.50557557205481,0,0,0,0,1,0
86,35390,82,138.4441469129598,0,0,0,0,0,0
87,35516,125,279.49006573414636,0,0,0,0,0,0
88,36717,1200,889.6522537465657,0,0,0,0,0,0
89,36788,70,98.68061203806411,1,0,0,0,0,0
90,36975,186,447.9519325942657,0,0,0,0,0,0
91,37344,368,909.5044801735693,0,0,0,0,0,0
92,37714,369,906.9719601177984,0,0,0,0,0,0
93,38084,369,941.476212253552,0,0,0,0,0,0
94,38291,206,30.374389367981095,0,0,0,0,1,0
95,38370,78,135.27133650669697,0,0,0,0,0,0
96,38496,125,271.36556384416485,0,0,0,0,0,0
97,39089,592,83.29754598148747,0,0,0,0,1,0
98,40290,1200,192.80269389428724,0,0,0,0,0,0
99,40431,140,315.9008220443796,0,0,0,0,0,0
100,41632,1200,887.5044053152578,0,0,0,0,0,0
101,41713,80,140.8613092285085,0,0,0,0,0,0
102,42159,445,286.44990985687866,0,0,0,0,0,0
103,42240,80,139.031630958689,0,0,0,0,0,0
104,42320,79,107.42944582756449,0,0,0,0,0,0
105,42509,188,450.33315609756534,0,0,0,0,0,0
106,42852,342,240.1256586211495,0,0,0,0,0,0
107,43357,504,68.57095791529716,0,0,0,0,1,0
108,44558,1200,239.09554166349966,0,0,0,0,0,0
109,45759,1200,246.62283639682113,0,0,0,0,0,0
110,46960,1200,209.49874889515215,0,0,0,0,0,0
111,47376,415,71.93700533549327,0,0,0,0,1,0
112,47744,367,938.5371696257406,0,0,0,0,0,0
113,48945,1200,198.03909351243576,0,0,0,0,0,0
114,49027,81,143.63474260420207,0,0,0,0,0,0
115,49172,144,17.216168681462285,0,0,0,0,1,0
116,50373,1200,892.5258963733652,0,0,0,0,0,0
117,50682,308,216.0323975065278,0,0,0,0,0,0
118,51188,505,324.9635616974575,0,0,0,0,0,0
119,51314,125,272.5567225014179,0,0,0,0,0,0
120,51502,187,471.27774599001924,0,0,0,0,0,0
121,52703,1200,912.698526181134,0,0,0,0,0,0
122,53150,446,48.60382637606844,0,0,0,0,1,0
123,53239,88,131.8019755431949,1,0,0,0,0,0
124,53568,328,45.08438902648282,0,0,0,0,1,0
125,53653,84,159.8211568512212,0,0,0,0,0,0
126,53795,141,15.954711190790999,0,0,0,0,1,0
127,54996,1200,238.1964234314654,0,0,0,0,0,0
128,55183,186,72.01834335443343,0,0,0,0,0,0
129,55325,141,324.20069747659375,0,0,0,0,0,0
130,56526,1200,205.9262011763056,0,0,0,0,0,0
131,56717,190,471.26822016687,0,0,0,0,0,0
132,57694,976,194.1277420856625,0,0,0,0,1,0
133,58026,331,237.92149089651267,0,0,0,0,0,0
134,59028,1001,186.96227061896292,0,0,0,0,1,0
135,59156,127,277.76257095041694,0,0,0,0,0,0
136,60056,899,-62.714236359157255,1,0,0,0,0,0
137,60198,141,322.5709954009737,0,0,0,0,0,0
138,60922,723,537.6742530853248,0,0,0,0,0,0
139,62123,1200,92.56046266316731,0,0,0,0,0,0
140,62225,101,193.5892047495073,0,0,0,0,0,0
141,62305,79,149.7364904254461,0,0,0,0,0,0
142,63506,1200,167.356833155535,0,0,0,0,0,0
143,64274,767,99.56143176883766,0,0,0,0,1,0
144,64562,287,204.94259134162448,0,0,0,0,0,0
145,65285,722,547.7356763097391,0,0,0,0,0,0
146,65731,445,304.230317044323,0,0,0,0,0,0
147,65825,93,217.19846905934895,0,0,0,0,0,0
148,67026,1200,907.7983616249343,0,0,0,0,0,0
149,67359,332,244.01083573827776,0,0,0,0,0,0
150,67652,292,211.94216479626644,0,0,0,0,0,0
151,68095,442,307.59748567738535,0,0,0,0,0,0
