episode_index,env_step,length,return,is_collision,out_of_lane,destination_reached,wrong_direction,too_slow,off_road
0,497044,243,14.959532574900585,0,0,0,0,1,0
1,497392,347,371.5584483371676,0,0,0,0,0,0
2,497944,551,52.99388416061996,0,0,0,0,1,0
3,498248,303,86.07075276698745,0,0,0,0,0,0
4,498482,233,-2.2491723231399625,0,0,0,0,1,0
5,498641,158,104.59365700182241,0,0,0,0,0,0
6,498796,154,140.40956614862057,0,0,0,0,0,0
7,499092,295,85.28054788955808,0,0,0,0,0,0
8,499664,571,-137.8991939091727,0,0,0,0,1,0
9,499827,162,15.426932697321412,0,0,0,0,1,0
10,500576,748,515.0031919394464,0,0,0,0,0,0
11,500679,102,242.96178883307422,0,0,0,0,0,0
12,501084,404,1058.192805379467,0,0,0,0,0,0
13,501232,147,332.7628410787306,0,0,0,0,0,0
14,501444,211,540.4671214379321,0,0,0,0,0,0
15,502188,743,535.5271577032933,0,0,0,0,0,0
16,503389,1200,160.6167919279624,0,0,0,0,0,0
17,503586,196,30.757366062746406,0,0,0,0,1,0
18,504369,782,143.84955908366345,0,0,0,0,1,0
19,504576,206,33.572633539004116,0,0,0,0,1,0
20,504869,292,182.27352357934421,1,0,0,0,0,0
21,506070,1200,868.7778088421451,0,0,0,0,0,0
22,506397,326,38.62535314688759,0,0,0,0,1,0
23,506628,230,34.11449974628312,0,0,0,0,1,0
24,506977,348,270.4263368307486,0,0,0,0,0,0
25,507728,750,532.0563027470571,0,0,0,0,0,0
26,508153,424,1132.580868913013,0,0,0,0,0,0
27,508386,232,32.17904218533518,0,0,0,0,1,0
28,508535,148,330.5503602814006,0,0,0,0,0,0
29,508685,149,330.6393301099604,0,0,0,0,0,0
30,509858,1172,155.69490374876233,0,0,0,0,1,0
