episode_index,env_step,length,return,is_collision,out_of_lane,destination_reached,wrong_direction,too_slow,off_road
0,490225,224,64.61021112260876,0,0,0,0,0,0
1,490505,279,120.87541118153399,1,0,0,0,0,0
2,490754,248,58.16853606632,1,0,0,0,0,0
3,491182,427,189.19184721628105,0,0,0,0,0,0
4,491277,94,128.8651723260756,0,0,0,0,0,0
5,491424,146,14.109884206511891,0,0,0,0,1,0
6,491496,71,63.747407212673124,0,0,0,0,0,0
7,491622,125,219.88724822219228,1,0,0,0,0,0
8,491767,144,13.053838326992757,0,0,0,0,1,0
9,491834,66,47.956238133602255,0,0,0,0,0,0
10,492093,258,131.4102509347364,1,0,0,0,0,0
11,492246,152,14.17568109439058,0,0,0,0,1,0
12,492538,291,48.71143307441967,0,0,0,0,0,0
13,492587,48,28.159503103011644,1,0,0,0,0,0
14,492741,153,32.64678282416044,0,0,0,0,0,0
15,493890,1148,597.790090584414,0,0,0,0,0,0
16,493978,87,102.0550852988167,0,0,0,0,0,0
17,494041,62,34.249115822278256,0,0,0,0,0,0
18,494359,317,136.60889664145319,1,0,0,0,0,0
19,494509,149,16.653138570129386,0,0,0,0,1,0
20,494655,145,13.798751582759357,0,0,0,0,1,0
21,494742,86,115.78112483213741,0,0,0,0,0,0
22,494888,145,16.564614630726133,0,0,0,0,1,0
23,494982,93,124.42737397534279,0,0,0,0,0,0
24,495078,95,98.24514500257605,0,0,0,0,0,0
25,495171,92,119.983203124275,0,0,0,0,0,0
26,495262,90,137.52477920209805,0,0,0,0,0,0
27,495371,108,154.80689053591016,1,0,0,0,0,0
28,495470,98,88.39671583922097,1,0,0,0,0,0
29,495561,90,141.25946508587947,0,0,0,0,0,0
30,495652,90,130.54363628160783,0,0,0,0,0,0
31,495811,158,18.169163326486235,0,0,0,0,1,0
32,495963,151,17.62264342865935,0,0,0,0,1,0
33,496111,147,12.48535613484159,0,0,0,0,1,0
34,496271,159,291.9908171741183,0,0,0,0,0,0
35,496417,145,16.609716430946513,0,0,0,0,1,0
36,496646,228,439.9536962033227,0,0,0,0,0,0
37,496773,126,208.60747983873526,1,0,0,0,0,0
38,496951,177,19.151994640848585,0,0,0,0,0,0
39,497722,770,259.1644405963466,0,0,0,0,0,0
40,497920,197,26.462207092174992,0,0,0,0,0,0
41,498347,426,17.10759576521457,1,0,0,0,0,0
42,499121,773,515.6050250363595,0,0,0,0,0,0
43,499255,133,198.46870333758628,1,0,0,0,0,0
44,499492,236,458.73464878470304,0,0,0,0,0,0
45,499569,76,81.7879905971079,0,0,0,0,0,0
46,499804,234,-30.376265427712866,0,0,0,0,0,0
47,499899,94,144.1237451090381,0,0,0,0,0,0
48,500215,315,32.5637532924068,0,0,0,0,1,0
49,500375,159,357.9963193368742,0,0,0,0,0,0
50,500905,529,313.44072484538253,0,0,0,0,0,0
51,501051,145,315.4438594618731,0,0,0,0,0,0
52,502252,1200,838.4667151802171,0,0,0,0,0,0
53,502421,168,22.965432147366243,0,0,0,0,1,0
54,502773,351,28.819003959622613,0,0,0,0,1,0
55,502876,102,169.0884249845865,0,0,0,0,0,0
56,503307,430,1114.5836656241702,0,0,0,0,0,0
57,503609,301,241.92807154196592,0,0,0,0,0,0
58,503727,117,216.74767929468595,0,0,0,0,0,0
59,504479,751,534.1829209952023,0,0,0,0,0,0
60,504994,514,276.70642525682644,0,0,0,0,0,0
61,506195,1200,848.1628862543635,0,0,0,0,0,0
62,506296,100,166.4550288040071,0,0,0,0,0,0
63,506716,419,1077.2618501849024,0,0,0,0,0,0
64,506863,146,15.309126768188241,0,0,0,0,1,0
65,508064,1200,857.0601341344367,0,0,0,0,0,0
66,508811,746,531.0418799384838,0,0,0,0,0,0
67,508999,187,21.719642215430405,0,0,0,0,1,0
68,509140,140,308.9348710651134,0,0,0,0,0,0
69,509352,211,25.796876749773308,0,0,0,0,1,0
70,509704,351,267.7973302218383,0,0,0,0,0,0
71,509865,160,14.750097870967629,0,0,0,0,1,0
