episode_index,env_step,length,return,is_collision,out_of_lane,destination_reached,wrong_direction,too_slow,off_road
0,369457,156,16.405491716728196,0,0,0,0,1,0
1,369613,155,17.074058701992477,0,0,0,0,1,0
2,369774,160,14.692514028962657,0,0,0,0,1,0
3,370108,333,82.76418985819711,0,0,0,0,0,0
4,370260,151,17.244574177420617,0,0,0,0,1,0
5,370399,138,12.917941301005945,0,0,0,0,1,0
6,370567,167,16.988309065380523,0,0,0,0,1,0
7,370726,158,16.87760678213534,0,0,0,0,1,0
8,370941,214,293.75556363084047,0,0,0,0,0,0
9,371159,217,299.7819077050222,0,0,0,0,0,0
10,371262,102,48.208926168265606,0,0,0,0,0,0
11,371520,257,-20.704613249494898,0,0,0,0,0,0
12,371778,257,11.2016111653543,0,0,0,0,0,0
13,372021,242,22.917826619591537,0,0,0,0,0,0
14,372085,63,47.851054791189725,0,0,0,0,0,0
15,372258,172,244.92556241378412,0,0,0,0,0,0
16,372417,158,13.572391074397286,0,0,0,0,1,0
17,372572,154,152.89287926141463,1,0,0,0,0,0
18,372671,98,109.88912415546132,0,0,0,0,0,0
19,372927,255,57.94292028339018,0,0,0,0,0,0
20,373026,98,118.5746828343566,0,0,0,0,0,0
21,373468,441,145.7528491205361,1,0,0,0,0,0
22,373616,147,14.68335105506989,0,0,0,0,1,0
23,373766,149,13.824307796589725,0,0,0,0,1,0
24,373863,96,60.60731115332112,1,0,0,0,0,0
25,373936,72,53.422447864736796,0,0,0,0,0,0
26,374100,163,19.85256447227236,0,0,0,0,1,0
27,374192,91,85.68696919280058,0,0,0,0,0,0
28,374676,483,762.5332668617796,0,0,0,0,0,0
29,374902,225,16.565263086200172,0,0,0,0,1,0
30,375306,403,-136.16008292463385,1,0,0,0,0,0
31,375460,153,13.106507599576895,0,0,0,0,1,0
32,375603,142,-83.829776385422,0,0,0,0,0,0
33,376054,450,594.0084864556884,1,0,0,0,0,0
34,376146,91,128.23414597991044,0,0,0,0,0,0
35,376302,155,17.420580707117974,0,0,0,0,1,0
36,376472,169,20.242494339280345,0,0,0,0,1,0
37,376591,118,144.2018409952342,0,0,0,0,0,0
38,376734,142,10.940041042842966,0,0,0,0,1,0
39,377093,358,24.1769376316372,1,0,0,0,0,0
40,377239,145,12.286201552362524,0,0,0,0,1,0
41,377497,257,16.98775998223004,0,0,0,0,1,0
42,377644,146,16.344212557248134,0,0,0,0,1,0
43,378006,361,127.85261960651395,1,0,0,0,0,0
44,378323,316,7.573948701810295,1,0,0,0,0,0
45,378470,146,15.995511492355893,0,0,0,0,1,0
46,378565,94,66.43417867560969,1,0,0,0,0,0
47,378666,100,91.22475137552198,0,0,0,0,0,0
48,378896,229,20.165310779731758,0,0,0,0,1,0
49,379063,166,17.722674523671504,0,0,0,0,1,0
50,379514,450,875.1743384117617,1,0,0,0,0,0
51,380007,492,1043.0829463746131,0,0,0,0,0,0
52,380740,732,-315.4785440866688,0,0,0,0,0,0
53,381199,458,842.4846490204554,1,0,0,0,0,0
54,381329,129,-98.69272264505895,0,0,0,0,0,0
55,381495,165,16.026781447247078,0,0,0,0,1,0
56,381980,484,762.5173319541346,0,0,0,0,0,0
57,382140,159,13.092908003695415,0,0,0,0,1,0
58,382295,154,13.200852314914137,0,0,0,0,1,0
59,382455,159,17.277496408053267,0,0,0,0,1,0
60,382576,120,167.45502163529758,0,0,0,0,0,0
61,382781,204,13.847138728313867,0,0,0,0,1,0
62,383299,517,5.940263783483545,0,0,0,0,0,0
63,383446,146,15.691609549478894,0,0,0,0,1,0
64,383616,169,226.12097449286426,0,0,0,0,0,0
65,383707,90,43.72389409604594,0,0,0,0,0,0
66,383942,234,306.0940861965058,1,0,0,0,0,0
67,384111,168,17.852370211847933,0,0,0,0,1,0
68,384180,68,16.9159763701209,0,0,0,0,0,0
69,384721,540,-248.6598935686817,0,0,0,0,0,0
70,384824,102,86.88304878615195,0,0,0,0,0,0
71,384976,151,207.2146854012915,1,0,0,0,0,0
72,385041,64,26.13417541891714,0,0,0,0,0,0
73,385523,481,898.6169224179314,0,0,0,0,0,0
74,385692,168,12.803233736120283,0,0,0,0,1,0
75,385834,141,-82.08373426243008,0,0,0,0,0,0
76,385984,149,189.04131265173385,1,0,0,0,0,0
77,386143,158,17.365747233083397,0,0,0,0,1,0
78,386502,358,81.93833256017388,1,0,0,0,0,0
79,386765,262,-11.139940863540168,0,0,0,0,0,0
80,386979,213,14.891162918941754,0,0,0,0,1,0
81,387046,66,2.7346111648895715,0,0,0,0,0,0
82,387467,420,133.35455613293297,1,0,0,0,0,0
83,387558,90,115.53660732304246,0,0,0,0,0,0
84,387716,157,12.684998894617834,0,0,0,0,1,0
85,387871,154,16.952486488958623,0,0,0,0,1,0
86,387969,97,118.89916534834326,0,0,0,0,0,0
87,388225,255,2.6268505674938183,0,0,0,0,0,0
88,388628,402,-256.5668057219316,1,0,0,0,0,0
89,388732,103,-7.401679061901092,1,0,0,0,0,0
90,388880,147,12.030172424716447,0,0,0,0,1,0
91,389035,154,16.852094306438502,0,0,0,0,1,0
92,389232,196,18.756422635647333,0,0,0,0,1,0
93,389375,142,9.750450193587298,0,0,0,0,1,0
94,389863,487,5.315838270521198,0,0,0,0,0,0
95,390010,146,12.229914750365005,0,0,0,0,1,0
96,390242,231,-112.34601235273627,0,0,0,0,0,0
97,390386,143,207.11319916855817,0,0,0,0,0,0
98,390630,243,331.0043421043567,0,0,0,0,0,0
99,390947,316,566.6383440715599,0,0,0,0,0,0
100,391195,247,-51.3574234783983,0,0,0,0,0,0
101,391634,438,-27.841487991587734,0,0,0,0,0,0
102,391732,97,110.62162391001905,0,0,0,0,0,0
103,391835,102,106.1709602126717,0,0,0,0,0,0
104,391981,145,-82.16170938796104,0,0,0,0,0,0
105,392138,156,16.294278983047782,0,0,0,0,1,0
106,392292,153,9.89892627478119,0,0,0,0,1,0
107,392436,143,12.81669543097842,0,0,0,0,1,0
108,392573,136,-77.7048550034294,0,0,0,0,0,0
109,392701,127,188.36885787216443,0,0,0,0,0,0
110,392870,168,13.58709268368937,0,0,0,0,1,0
111,393074,203,17.063258148062584,0,0,0,0,1,0
112,393134,59,17.71459249145009,0,0,0,0,0,0
113,393281,146,10.036529039516438,0,0,0,0,1,0
114,393601,319,50.42411174339017,0,0,0,0,0,0
115,393718,116,152.1927140195806,0,0,0,0,0,0
116,393822,103,102.5621682105605,0,0,0,0,0,0
117,394080,257,18.250437360311963,0,0,0,0,0,0
118,394242,161,17.36602492384591,0,0,0,0,1,0
119,394729,486,875.2252562067206,0,0,0,0,0,0
120,394869,139,-64.69151705354693,0,0,0,0,0,0
121,395019,149,12.096482594934908,0,0,0,0,1,0
122,395117,97,-28.20777320318085,0,0,0,0,0,0
123,395366,248,17.029775164339497,0,0,0,0,1,0
124,395625,258,4.405181807197479,0,0,0,0,0,0
125,395777,151,12.955895847145415,0,0,0,0,1,0
126,395874,96,146.55013884924665,0,0,0,0,0,0
127,395969,94,98.94235077365916,0,0,0,0,0,0
128,396070,100,159.62612729282213,0,0,0,0,0,0
129,396491,420,57.383605414420416,1,0,0,0,0,0
130,396970,478,177.46146435587153,0,0,0,0,0,0
131,397441,470,33.749040682638764,0,0,0,0,0,0
132,397592,150,213.88423386280022,1,0,0,0,0,0
133,397807,214,16.545430457540967,0,0,0,0,1,0
134,397977,169,13.604133430839369,0,0,0,0,1,0
135,398137,159,13.957910947310248,0,0,0,0,1,0
136,398233,95,63.11818087789719,0,0,0,0,0,0
137,398652,418,97.24288786050055,1,0,0,0,0,0
138,398834,181,12.560510148774847,0,0,0,0,1,0
139,399081,246,264.2777050696832,0,0,0,0,0,0
140,399303,221,-3.541717447062247,0,0,0,0,0,0
141,399571,267,3.7880611595036697,0,0,0,0,0,0
142,399811,239,75.23070236903052,0,0,0,0,0,0
143,400082,270,44.162308900424925,0,0,0,0,0,0
144,400209,126,190.15352708148896,0,0,0,0,0,0
145,400404,194,16.461380311754997,0,0,0,0,1,0
146,400562,157,15.087742417382534,0,0,0,0,1,0
147,400827,264,-24.30634258370246,0,0,0,0,0,0
148,400977,149,159.13985535839893,1,0,0,0,0,0
149,401223,245,315.30052017063366,0,0,0,0,0,0
150,401378,154,12.329402582475902,0,0,0,0,1,0
151,401538,159,17.053379967979332,0,0,0,0,1,0
152,401803,264,-37.19315617926496,0,0,0,0,0,0
153,401948,144,13.51103526714672,0,0,0,0,1,0
154,402101,152,12.38925171809871,0,0,0,0,1,0
155,402150,48,35.71593261069988,1,0,0,0,0,0
156,402617,466,806.0121118936277,0,0,0,0,0,0
157,402785,167,17.543415101549463,0,0,0,0,1,0
158,402887,101,126.08954810080985,0,0,0,0,0,0
159,403121,233,-58.53569676211178,0,0,0,0,0,0
